date,temp_mean_c,temp_max_c,temp_min_c,precip_mm,wind_speed_ms,wind_gust_ms,sunshine_hours,pressure_max_hpa,pressure_min_hpa,humidity_mean_pct,station_id,ccaa,city
2019-01-01,10.4,17.8,3.1,0.0,1.1,7.2,9.3,1028.6,1025.8,64.0,5783,Andalucía,Sevilla Centro
2019-01-02,10.0,17.8,2.1,0.0,1.1,5.0,8.7,1027.5,1022.6,72.0,5783,Andalucía,Sevilla Centro
2019-01-03,10.4,15.9,4.9,0.0,3.1,6.7,8.1,1025.2,1022.0,74.0,5783,Andalucía,Sevilla Centro
2019-01-04,10.9,17.2,4.6,0.0,3.9,9.2,9.0,1027.6,1023.6,67.0,5783,Andalucía,Sevilla Centro
2019-01-05,10.3,17.2,3.4,0.0,1.9,8.9,9.4,1030.5,1027.3,64.0,5783,Andalucía,Sevilla Centro
2019-01-06,9.6,18.7,0.5,0.0,1.1,5.0,9.4,1027.9,1024.4,61.0,5783,Andalucía,Sevilla Centro
2019-01-07,9.1,17.0,1.2,0.0,1.9,5.8,9.4,1026.7,1023.0,60.0,5783,Andalucía,Sevilla Centro
2019-01-08,9.2,17.0,1.5,0.0,1.9,6.7,9.4,1026.7,1021.8,62.0,5783,Andalucía,Sevilla Centro
2019-01-09,9.6,18.2,0.9,0.0,1.4,6.7,9.4,1021.8,1014.3,62.0,5783,Andalucía,Sevilla Centro
2019-01-10,9.6,16.9,2.4,0.0,3.1,9.2,9.5,1018.1,1013.6,56.0,5783,Andalucía,Sevilla Centro
2019-01-11,7.4,13.6,1.3,0.0,4.2,12.5,9.5,1023.5,1017.9,41.0,5783,Andalucía,Sevilla Centro
2019-01-12,9.8,15.1,4.5,0.0,3.9,11.7,9.5,1025.8,1023.1,40.0,5783,Andalucía,Sevilla Centro
2019-01-13,9.2,17.4,1.0,0.0,2.8,8.9,9.5,1026.1,1021.9,58.0,5783,Andalucía,Sevilla Centro
2019-01-14,9.6,17.9,1.4,0.0,1.4,6.1,9.5,1022.3,1017.2,60.0,5783,Andalucía,Sevilla Centro
2019-01-15,8.6,14.4,2.9,0.0,1.4,5.0,4.5,1019.2,1016.6,79.0,5783,Andalucía,Sevilla Centro
2019-01-16,10.0,17.0,3.1,0.0,1.4,5.0,8.3,1018.2,1014.4,76.0,5783,Andalucía,Sevilla Centro
2019-01-17,10.3,15.4,5.2,0.0,1.4,5.8,3.2,1016.8,1013.6,74.0,5783,Andalucía,Sevilla Centro
2019-01-18,9.0,16.0,2.1,1.8,1.1,5.8,8.5,1018.7,1015.6,68.0,5783,Andalucía,Sevilla Centro
