Territory,Location type,2019,2020,2021,2022,2023,2024,2025,2026
Barcelona,Municipi,"6,947,665,788","6,130,748,798","6,191,946,389","6,302,814,413","6,222,845,344","6,310,044,191","6,588,843,569","1,549,440,339"
Ciutat Vella,Districte,"719,891,234","574,019,984","585,212,018","632,656,787","629,269,193","631,666,486","633,976,554","138,493,024"
Eixample,Districte,"1,357,872,982","1,143,799,794","1,172,404,132","1,149,234,983","1,217,091,321","1,209,964,319","1,148,991,247","256,822,548"
Sants – Montjuïc,Districte,"1,331,698,594","1,177,257,345","1,161,490,608","1,162,479,700","1,110,944,446","1,114,465,921","1,289,399,176","306,393,888"
Les Corts,Districte,"499,176,750","439,138,295","434,888,034","441,733,878","415,551,682","410,706,446","443,427,673","106,267,809"
Sarrià – Sant Gervasi,Districte,"690,975,776","626,072,991","642,776,121","659,582,901","638,328,898","674,595,152","605,979,845","145,267,078"
Gràcia,Districte,"327,761,087","312,112,029","326,124,757","332,332,818","342,744,819","362,899,232","436,509,068","112,018,417"
Horta – Guinardó,Districte,"416,574,715","410,963,283","418,221,870","420,351,615","406,816,200","421,855,323","479,251,010","121,953,787"
Nou Barris,Districte,"291,265,229","282,948,234","282,785,209","273,707,616","272,408,536","280,565,417","308,695,452","77,498,156"
Sant Andreu,Districte,"451,896,161","434,899,953","441,715,362","437,709,640","481,140,809","487,005,274","479,575,035","112,679,050"
Sant Martí,Districte,"860,553,260","729,536,890","726,328,277","793,024,474","708,549,440","716,320,620","763,038,508","172,046,581"
