Territory,Location type,Economic sector,2019,2020,2021,2022,2023,2024,2025,2026
Barcelona,Municipi,Residential,"2,333,862,536","2,257,924,542","2,216,839,702","2,171,790,385","2,158,899,039","2,188,538,639","2,336,509,148","612,012,886"
Barcelona,Municipi,Industry,"702,395,528","596,291,939","585,319,585","557,725,025","373,373,265","447,722,463","1,068,255,311","299,552,492"
Barcelona,Municipi,Services,"3,908,990,498","3,273,710,032","3,386,646,681","3,568,385,290","3,690,307,709","3,673,783,089","3,184,079,110","637,874,961"
Barcelona,Municipi,Not specified,"2,417,226","2,822,285","3,140,421","4,913,713","265,331",-,-,-
Ciutat Vella,Districte,Residential,"177,346,734","158,550,296","162,872,459","169,062,489","170,584,332","171,819,616","179,498,144","46,367,210"
Ciutat Vella,Districte,Industry,"41,124,465","36,278,551","36,744,282","37,209,358","18,914,807","27,577,981","109,815,665","27,385,338"
Ciutat Vella,Districte,Services,"501,350,577","379,100,242","385,464,363","426,145,614","439,752,698","432,268,889","344,662,745","64,740,475"
Ciutat Vella,Districte,Not specified,"69,458","90,896","130,915","239,326","17,356",-,-,-
Eixample,Districte,Residential,"492,095,390","451,082,903","444,121,000","416,554,336","409,242,974","403,362,731","402,768,567","99,430,474"
Eixample,Districte,Industry,"44,044,865","34,649,872","36,940,026","35,621,100","19,322,434","31,836,297","158,648,052","43,489,981"
Eixample,Districte,Services,"820,397,736","656,581,931","689,958,455","695,928,127","788,489,091","774,765,291","587,574,628","113,902,093"
Eixample,Districte,Not specified,"1,334,991","1,485,089","1,384,651","1,131,420","36,821",-,-,-
Sants – Montjuïc,Districte,Residential,"228,278,143","224,659,017","218,471,756","224,160,435","217,628,744","219,282,201","261,426,701","68,426,381"
Sants – Montjuïc,Districte,Industry,"448,127,723","386,971,707","371,594,430","321,320,072","224,593,677","236,444,267","368,504,040","108,241,222"
Sants – Montjuïc,Districte,Services,"655,286,076","565,616,073","571,412,220","616,348,101","668,715,717","658,739,453","659,468,436","129,726,286"
Sants – Montjuïc,Districte,Not specified,"6,652","10,548","12,202","651,092","6,308",-,-,-
Les Corts,Districte,Residential,"173,866,263","172,110,688","163,259,139","154,875,654","160,516,972","155,767,324","171,955,383","45,394,130"
Les Corts,Districte,Industry,"9,607,261","8,665,310","9,079,854","12,142,271","4,314,878","11,245,987","78,395,281","23,141,697"
Les Corts,Districte,Services,"315,661,436","258,309,918","262,479,494","274,361,087","250,698,010","243,693,136","193,077,009","37,731,982"
Les Corts,Districte,Not specified,"41,791","52,378","69,547","354,866","21,821",-,-,-
Sarrià – Sant Gervasi,Districte,Residential,"273,089,001","266,198,391","264,005,635","258,546,368","259,078,578","265,246,048","244,104,872","64,044,385"
Sarrià – Sant Gervasi,Districte,Industry,"24,101,073","17,964,397","17,835,517","18,853,171","8,092,251","16,040,554","82,268,819","24,375,066"
Sarrià – Sant Gervasi,Districte,Services,"393,386,893","341,322,407","360,274,373","381,501,696","371,086,523","393,308,550","279,606,153","56,847,628"
Sarrià – Sant Gervasi,Districte,Not specified,"398,808","587,796","660,596","681,665","71,546",-,-,-
Gràcia,Districte,Residential,"157,759,981","159,021,686","158,352,163","155,089,777","162,536,991","171,702,246","194,373,268","54,435,679"
Gràcia,Districte,Industry,"8,252,693","7,510,146","8,211,374","8,306,667","5,843,068","11,282,137","48,176,174","14,862,419"
Gràcia,Districte,Services,"161,694,471","145,533,326","159,509,952","168,783,941","174,361,438","179,914,849","193,959,626","42,720,319"
Gràcia,Districte,Not specified,"53,942","46,872","51,269","152,434","3,321",-,-,-
Horta – Guinardó,Districte,Residential,"209,713,863","218,732,321","218,118,379","210,962,221","200,508,687","208,100,216","250,981,624","69,793,019"
Horta – Guinardó,Districte,Industry,"7,290,181","6,769,721","6,488,598","5,929,792","3,352,034","5,766,124","27,830,202","8,530,270"
Horta – Guinardó,Districte,Services,"199,570,409","185,461,241","193,614,893","203,313,972","202,955,290","207,988,984","200,439,184","43,630,497"
Horta – Guinardó,Districte,Not specified,263,-,-,"145,630",188,-,-,-
Nou Barris,Districte,Residential,"152,669,518","155,170,003","149,899,460","142,069,415","144,412,551","153,155,299","171,343,041","46,587,743"
Nou Barris,Districte,Industry,"4,439,378","4,068,523","4,211,904","4,091,795","2,131,735","4,118,403","23,907,552","6,608,161"
Nou Barris,Districte,Services,"134,156,333","123,709,709","128,673,844","127,546,407","125,864,250","123,291,716","113,444,858","24,302,253"
Sant Andreu,Districte,Residential,"148,432,935","157,506,910","159,055,590","145,202,054","164,978,732","166,189,475","166,328,280","43,536,376"
Sant Andreu,Districte,Industry,"53,809,768","44,242,534","43,956,471","59,196,190","60,156,369","69,899,954","75,366,073","18,833,100"
Sant Andreu,Districte,Services,"249,647,711","233,150,510","238,703,301","233,311,396","256,005,708","250,915,845","237,880,682","50,309,574"
Sant Andreu,Districte,Not specified,"5,747",-,-,-,-,-,-,-
Sant Martí,Districte,Residential,"320,610,710","294,892,328","278,684,120","295,267,636","269,410,477","273,913,484","293,729,268","73,997,489"
Sant Martí,Districte,Industry,"61,598,121","49,171,179","50,257,129","55,054,609","26,652,011","33,510,759","95,343,452","24,085,237"
Sant Martí,Districte,Services,"477,838,856","384,924,675","396,555,785","441,144,949","412,378,983","408,896,378","373,965,788","73,963,855"
Sant Martí,Districte,Not specified,"505,573","548,708","831,242","1,557,279","107,969",-,-,-
