Postal code,2019,2020,2021,2022,2023,2024,2025,2026
8001,"156,561,666","123,350,893","125,342,787","139,931,213","144,091,996","144,351,923","144,787,750","32,803,378"
8002,"239,368,842","180,717,422","188,532,926","187,703,532","180,733,121","174,800,832","184,288,921","36,227,340"
8003,"217,292,576","178,208,048","180,057,564","202,319,415","213,890,411","221,817,946","209,245,392","47,762,845"
8004,"252,169,247","198,279,731","211,299,526","177,943,107","160,567,193","166,130,104","181,422,289","51,140,033"
8005,"234,613,193","180,661,123","174,345,611","189,562,405","184,142,006","181,722,079","132,579,761","25,855,019"
8006,"138,759,495","125,260,123","140,740,296","136,742,311","179,538,198","195,052,718","68,272,382","15,708,002"
8007,"150,371,612","126,089,215","217,381,106","134,589,492","124,575,338","102,892,448","21,628,657","3,893,738"
8008,"72,983,879","66,557,857","80,909,351","81,725,285","47,637,895","35,843,238","107,516,578","22,401,375"
8009,"76,902,199","74,443,268","75,951,317","71,272,697","76,265,802","43,600,912","13,574,992","1,653,662"
8010,"65,579,937","51,638,003","60,352,941","76,759,646","53,836,341","57,564,778","33,646,509","7,088,447"
8011,"221,036,981","92,173,986","71,935,380","84,272,292","79,707,472","73,044,644","11,749,833","1,214,407"
8012,"95,996,644","86,539,564","90,463,941","88,708,423","96,651,945","104,897,312","89,628,499","21,904,300"
8013,"201,701,986","168,483,706","157,318,390","157,656,542","251,100,472","276,756,735","98,554,084","17,064,660"
8014,"204,962,020","183,557,056","189,539,543","209,028,294","200,444,877","190,995,389","164,945,784","39,938,250"
8015,"182,123,016","228,990,820","172,325,747","216,829,261","141,522,546","129,513,338","129,640,064","28,720,562"
8016,"119,770,694","113,499,279","111,686,920","106,550,531","138,749,881","137,023,632","95,803,481","23,368,702"
8017,"160,998,131","151,573,380","156,803,915","161,646,474","149,407,500","155,121,595","136,978,090","32,963,035"
8018,"234,633,103","206,891,943","215,350,340","274,851,103","204,820,201","196,214,130","202,547,933","46,833,118"
8019,"135,298,285","120,279,022","135,566,408","139,458,041","81,256,340","74,011,174","99,972,439","28,784,827"
8020,"193,449,400","176,354,604","175,334,342","189,934,346","195,831,596","204,667,335","235,224,107","45,685,286"
8021,"156,080,333","136,183,088","137,538,798","152,540,386","113,990,157","119,637,232","118,203,072","28,239,201"
8022,"120,914,451","104,342,581","102,758,408","102,428,330","89,495,879","87,270,475","151,015,305","35,873,030"
8023,"99,337,202","99,757,691","99,241,279","99,083,180","102,527,576","108,889,350","101,625,201","26,891,952"
8024,"113,874,456","123,739,680","125,579,028","124,338,401","147,504,743","140,950,857","97,042,848","25,704,547"
8025,"205,728,128","184,641,842","181,732,871","211,910,980","136,016,073","139,398,792","232,769,960","59,252,657"
8026,"114,305,325","87,083,723","67,735,770","55,402,531","79,730,807","93,376,822","131,966,172","32,881,372"
8027,"121,853,697","133,187,585","139,835,863","122,989,853","131,621,678","125,298,677","131,086,518","31,429,578"
8028,"340,531,374","292,595,988","292,130,996","297,475,852","228,897,502","210,105,007","242,027,923","59,979,496"
8029,"223,202,246","193,560,429","184,639,576","182,573,791","247,199,339","227,336,009","245,260,491","54,285,384"
8030,"318,665,688","291,660,869","291,599,806","303,183,130","337,765,547","347,217,917","327,716,100","76,537,854"
8031,"73,667,737","72,351,192","72,415,771","72,070,147","64,685,970","71,274,489","68,807,361","17,789,015"
8032,"84,479,077","84,332,708","83,734,431","82,476,448","78,131,823","79,483,232","91,237,369","24,099,511"
8033,"40,394,868","40,010,096","40,988,146","39,574,173","42,844,283","53,040,874","71,889,554","19,196,128"
8034,"195,164,392","180,471,455","178,830,283","180,659,487","178,897,970","207,090,402","215,441,613","52,169,254"
8035,"142,465,782","132,796,309","128,451,870","129,747,372","147,140,168","154,835,900","143,579,475","33,949,371"
8036,"156,745,879","139,240,937","128,028,238","103,299,547","218,939,528","259,132,620","205,819,023","42,368,848"
8037,"59,481,814","44,728,009","69,548,568","75,252,546","75,852,736","104,113,663","455,356,639","119,478,154"
8038,"252,170,519","230,187,080","220,507,870","226,934,199","223,780,911","238,993,818","339,988,931","79,118,768"
8039,"225,819,921","192,717,790","188,022,383","188,719,016","194,176,992","198,893,080","240,762,515","53,586,000"
8040,"375,297,239","354,922,236","335,110,193","344,327,780","328,536,526","321,991,859","363,602,006","82,005,113"
8041,"73,914,393","81,169,746","94,169,189","84,318,072","88,411,853","95,780,085","134,860,954","34,802,273"
8042,"98,998,361","97,518,721","98,108,701","96,024,782","61,926,152","59,910,769","116,776,994","28,791,847"
