Territory,Location type,Time interval,2019,2020,2021,2022,2023,2024,2025,2026
Barcelona,Municipi,From 00:00:00 to 05:59:59 h,"1,195,689,422","1,081,344,961","1,092,114,209","1,114,431,687","1,111,252,863","1,122,135,329","1,176,023,730","262,691,611"
Barcelona,Municipi,From 06:00:00 to 11:59:59 h,"1,794,345,595","1,561,404,731","1,587,363,445","1,605,060,325","1,582,314,134","1,611,659,381","1,677,202,900","417,528,323"
Barcelona,Municipi,From 12:00:00 to 17:59:59 h,"2,064,428,945","1,820,441,679","1,830,926,172","1,868,485,066","1,829,014,430","1,864,173,728","1,946,281,035","458,473,195"
Barcelona,Municipi,From 18:00:00 to 23:59:59 h,"1,891,651,399","1,667,025,288","1,681,202,782","1,713,801,435","1,699,448,365","1,711,513,386","1,788,768,246","410,064,966"
Barcelona,Municipi,Not available,"1,550,427","532,139","339,781","1,035,900","815,552","562,367","567,658","682,244"
Ciutat Vella,Districte,From 00:00:00 to 05:59:59 h,"123,556,333","102,717,579","106,025,764","112,800,407","112,681,326","111,762,789","112,258,088","23,141,651"
Ciutat Vella,Districte,From 06:00:00 to 11:59:59 h,"184,775,750","145,779,506","148,458,023","159,655,415","158,843,680","158,969,615","159,539,552","36,756,646"
Ciutat Vella,Districte,From 12:00:00 to 17:59:59 h,"216,253,790","171,385,951","175,089,552","190,258,955","188,520,722","190,976,216","191,824,901","42,151,062"
Ciutat Vella,Districte,From 18:00:00 to 23:59:59 h,"195,158,500","154,090,801","155,600,496","169,845,600","169,142,562","169,902,692","170,300,426","36,381,694"
Ciutat Vella,Districte,Not available,"146,860","46,147","38,183","96,411","80,902","55,175","53,586","61,972"
Eixample,Districte,From 00:00:00 to 05:59:59 h,"213,334,624","185,123,241","190,295,720","187,864,144","199,000,574","196,582,796","186,745,601","39,370,217"
Eixample,Districte,From 06:00:00 to 11:59:59 h,"354,019,071","294,060,008","301,600,696","294,251,197","312,813,935","313,401,817","296,636,754","70,750,373"
Eixample,Districte,From 12:00:00 to 17:59:59 h,"419,466,531","353,835,729","361,393,184","353,741,988","375,291,633","376,802,059","358,629,967","80,248,320"
Eixample,Districte,From 18:00:00 to 23:59:59 h,"370,747,952","310,680,222","319,053,253","313,192,780","329,833,017","323,092,695","306,884,012","66,352,746"
Eixample,Districte,Not available,"304,804","100,593","61,280","184,874","152,161","84,951","94,912","100,892"
Sants – Montjuïc,Districte,From 00:00:00 to 05:59:59 h,"270,659,382","244,201,628","239,704,284","238,104,766","229,571,743","230,537,149","265,508,430","61,681,118"
Sants – Montjuïc,Districte,From 06:00:00 to 11:59:59 h,"348,225,089","306,420,607","304,395,927","299,740,029","285,951,585","287,664,855","331,082,510","81,073,568"
Sants – Montjuïc,Districte,From 12:00:00 to 17:59:59 h,"372,656,283","326,230,257","322,027,604","322,835,677","304,308,187","304,882,011","353,678,596","83,828,614"
Sants – Montjuïc,Districte,From 18:00:00 to 23:59:59 h,"339,959,142","300,304,082","295,280,522","301,653,454","290,985,858","291,265,437","339,001,834","79,602,351"
Sants – Montjuïc,Districte,Not available,"198,697","100,771","82,271","145,773","127,072","116,469","127,805","208,237"
Les Corts,Districte,From 00:00:00 to 05:59:59 h,"83,814,443","75,602,464","74,365,479","75,906,191","73,590,018","73,875,465","80,035,671","18,391,215"
Les Corts,Districte,From 06:00:00 to 11:59:59 h,"130,247,334","112,389,295","112,788,729","114,542,321","106,319,223","105,277,891","113,118,252","28,666,255"
Les Corts,Districte,From 12:00:00 to 17:59:59 h,"151,005,423","132,675,580","131,012,937","134,003,728","123,146,107","121,127,723","130,583,994","31,162,131"
Les Corts,Districte,From 18:00:00 to 23:59:59 h,"134,000,463","118,433,098","116,698,855","117,211,555","112,445,042","110,389,095","119,650,245","28,001,747"
Les Corts,Districte,Not available,"109,086","37,857","22,035","70,083","51,291","36,271","39,512","46,462"
Sarrià – Sant Gervasi,Districte,From 00:00:00 to 05:59:59 h,"111,287,848","105,018,645","107,446,692","110,468,612","108,928,955","114,724,816","104,325,118","24,073,644"
Sarrià – Sant Gervasi,Districte,From 06:00:00 to 11:59:59 h,"182,348,334","162,439,687","167,669,326","171,665,497","164,836,368","175,140,962","157,651,496","40,333,695"
Sarrià – Sant Gervasi,Districte,From 12:00:00 to 17:59:59 h,"211,091,452","189,687,085","193,853,870","199,729,546","190,546,144","202,672,980","181,229,066","43,257,606"
Sarrià – Sant Gervasi,Districte,From 18:00:00 to 23:59:59 h,"186,086,828","168,873,341","173,773,902","177,603,456","173,932,758","182,006,270","162,719,804","37,547,424"
Sarrià – Sant Gervasi,Districte,Not available,"161,315","54,233","32,332","115,790","84,673","50,124","54,360","54,710"
Gràcia,Districte,From 00:00:00 to 05:59:59 h,"53,538,255","51,580,694","54,483,942","56,572,438","58,527,730","60,829,360","71,922,493","17,328,982"
Gràcia,Districte,From 06:00:00 to 11:59:59 h,"82,833,990","77,261,745","81,669,746","82,972,325","85,460,580","91,292,427","110,563,206","30,543,395"
Gràcia,Districte,From 12:00:00 to 17:59:59 h,"96,976,467","93,779,548","96,857,439","98,647,369","101,433,017","108,843,475","133,194,180","34,257,232"
Gràcia,Districte,From 18:00:00 to 23:59:59 h,"94,314,504","89,461,414","93,099,795","94,073,872","97,274,523","101,896,336","120,803,921","29,853,731"
Gràcia,Districte,Not available,"97,872","28,628","13,835","66,815","48,970","37,634","25,267","35,078"
Horta – Guinardó,Districte,From 00:00:00 to 05:59:59 h,"70,068,076","70,312,726","71,531,399","72,856,971","71,800,434","73,424,117","83,149,199","19,665,529"
Horta – Guinardó,Districte,From 06:00:00 to 11:59:59 h,"103,825,232","100,006,642","103,091,139","103,448,672","100,263,596","104,658,266","117,869,140","32,182,381"
Horta – Guinardó,Districte,From 12:00:00 to 17:59:59 h,"121,540,566","121,522,947","122,459,802","123,439,686","118,231,140","123,380,771","140,717,889","36,065,639"
Horta – Guinardó,Districte,From 18:00:00 to 23:59:59 h,"121,007,626","119,083,911","121,124,045","120,516,950","116,455,201","120,346,763","137,474,400","34,006,344"
Horta – Guinardó,Districte,Not available,"133,215","37,058","15,485","89,337","65,828","45,407","40,382","33,895"
Nou Barris,Districte,From 00:00:00 to 05:59:59 h,"46,962,813","45,448,995","45,891,845","45,578,544","46,398,754","47,161,744","51,851,196","11,924,335"
Nou Barris,Districte,From 06:00:00 to 11:59:59 h,"70,593,851","67,795,646","68,915,278","66,193,936","65,827,526","68,066,945","74,310,901","19,980,480"
Nou Barris,Districte,From 12:00:00 to 17:59:59 h,"86,639,739","85,903,698","84,440,525","81,387,264","80,030,922","83,064,203","91,845,836","23,416,506"
Nou Barris,Districte,From 18:00:00 to 23:59:59 h,"86,972,013","83,774,755","83,527,389","80,488,048","80,107,522","82,245,255","90,662,804","22,158,521"
Nou Barris,Districte,Not available,"96,813","25,140","10,172","59,824","43,813","27,271","24,716","18,314"
Sant Andreu,Districte,From 00:00:00 to 05:59:59 h,"72,001,354","69,777,646","70,508,584","72,575,202","81,453,369","83,125,955","82,891,139","18,230,287"
Sant Andreu,Districte,From 06:00:00 to 11:59:59 h,"117,097,305","111,608,592","114,297,725","112,597,779","122,977,293","124,461,673","122,216,135","30,497,504"
Sant Andreu,Districte,From 12:00:00 to 17:59:59 h,"134,685,245","130,797,062","131,852,833","129,708,219","141,119,667","142,920,316","140,069,373","33,288,735"
Sant Andreu,Districte,From 18:00:00 to 23:59:59 h,"128,009,286","122,676,635","125,034,529","122,755,611","135,526,992","136,455,311","134,358,056","30,609,846"
Sant Andreu,Districte,Not available,"102,970","40,018","21,692","72,829","63,488","42,019","40,333","52,678"
Sant Martí,Districte,From 00:00:00 to 05:59:59 h,"150,466,294","131,561,343","131,860,500","141,704,413","129,299,959","130,111,138","137,336,795","28,884,635"
Sant Martí,Districte,From 06:00:00 to 11:59:59 h,"220,379,638","183,643,002","184,476,857","199,993,154","179,020,347","182,724,929","194,214,954","46,744,027"
Sant Martí,Districte,From 12:00:00 to 17:59:59 h,"254,113,448","214,623,821","211,938,426","234,732,634","206,386,890","209,503,976","224,507,232","50,797,351"
Sant Martí,Districte,From 18:00:00 to 23:59:59 h,"235,395,085","199,647,029","198,009,996","216,460,108","193,744,889","193,913,532","206,912,742","45,550,562"
Sant Martí,Districte,Not available,"198,794","61,694","42,497","134,165","97,355","67,045","66,785","70,006"
