date,demand_mwh_day,demand_mean_mw,demand_peak_mw,demand_peak_hour
2014-12-31,610512.0,25438.0,25438.0,23
2015-01-01,571080.0,23795.0,29919.0,20
2015-01-02,676067.0,28169.458333333332,34839.0,19
2015-01-03,657926.0,27413.583333333332,31903.0,20
2015-01-04,624535.0,26022.291666666668,32054.0,20
2015-01-05,698009.0,29083.708333333332,33763.0,9
2015-01-06,576909.0,24037.875,30067.0,20
2015-01-07,770449.0,32102.041666666668,38572.0,9
2015-01-08,790115.0,32921.458333333336,38545.0,18
2015-01-09,782316.0,32596.5,37861.0,9
2015-01-10,687649.0,28652.041666666668,33597.0,19
2015-01-11,641319.0,26721.625,32699.0,20
2015-01-12,761208.0,31717.0,37941.0,19
2015-01-13,771450.0,32143.75,37598.0,19
2015-01-14,773836.0,32243.166666666668,38265.0,19
2015-01-15,772603.0,32191.791666666668,37688.0,19
2015-01-16,776508.0,32354.5,37134.0,10
2015-01-17,702056.0,29252.333333333332,34478.0,19
2015-01-18,663503.0,27645.958333333332,33962.0,20
2015-01-19,795959.0,33164.958333333336,38758.0,19
2015-01-20,810986.0,33791.083333333336,39336.0,18
2015-01-21,818144.0,34089.333333333336,39934.0,19
2015-01-22,817542.0,34064.25,39970.0,18
2015-01-23,810497.0,33770.708333333336,38808.0,18
2015-01-24,716472.0,29853.0,35076.0,20
2015-01-25,667800.0,27825.0,34067.0,19
2015-01-26,789424.0,32892.666666666664,38952.0,19
2015-01-27,796589.0,33191.208333333336,38968.0,18
2015-01-28,793623.0,33067.625,38793.0,19
2015-01-29,784117.0,32671.541666666668,38572.0,19
2015-01-30,771262.0,32135.916666666668,36566.0,18
2015-01-31,692247.0,28843.625,33259.0,19
2015-02-01,655724.0,27321.833333333332,33603.0,20
2015-02-02,789878.0,32911.583333333336,38936.0,19
2015-02-03,812154.0,33839.75,39557.0,18
2015-02-04,828144.0,34506.0,40420.0,18
2015-02-05,842830.0,35117.916666666664,41514.0,18
2015-02-06,829252.0,34552.166666666664,39632.0,18
2015-02-07,743444.0,30976.833333333332,35914.0,19
2015-02-08,689445.0,28726.875,35157.0,19
2015-02-09,812279.0,33844.958333333336,40537.0,19
2015-02-10,818301.0,34095.875,39978.0,19
2015-02-11,809172.0,33715.5,39289.0,19
