value,datetime,datetime_utc,tz_time,geo_id,geo_name,indicator_id,indicator_name,unit,date
0.77,2017-05-01T00:00:00.000+02:00,2017-04-30T22:00:00Z,2017-04-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2017-05-01
0.77,2017-06-01T00:00:00.000+02:00,2017-05-31T22:00:00Z,2017-05-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2017-06-01
0.77,2017-07-01T00:00:00.000+02:00,2017-06-30T22:00:00Z,2017-06-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2017-07-01
0.77,2017-08-01T00:00:00.000+02:00,2017-07-31T22:00:00Z,2017-07-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2017-08-01
0.77,2017-09-01T00:00:00.000+02:00,2017-08-31T22:00:00Z,2017-08-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2017-09-01
0.77,2017-10-01T00:00:00.000+02:00,2017-09-30T22:00:00Z,2017-09-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2017-10-01
0.191,2017-11-01T00:00:00.000+01:00,2017-10-31T23:00:00Z,2017-10-31T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2017-11-01
0.77,2017-11-01T00:00:00.000+01:00,2017-10-31T23:00:00Z,2017-10-31T23:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2017-11-01
0.191,2017-12-01T00:00:00.000+01:00,2017-11-30T23:00:00Z,2017-11-30T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2017-12-01
0.77,2017-12-01T00:00:00.000+01:00,2017-11-30T23:00:00Z,2017-11-30T23:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2017-12-01
0.191,2018-01-01T00:00:00.000+01:00,2017-12-31T23:00:00Z,2017-12-31T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-01-01
0.77,2018-01-01T00:00:00.000+01:00,2017-12-31T23:00:00Z,2017-12-31T23:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-01-01
0.191,2018-02-01T00:00:00.000+01:00,2018-01-31T23:00:00Z,2018-01-31T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-02-01
0.77,2018-02-01T00:00:00.000+01:00,2018-01-31T23:00:00Z,2018-01-31T23:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-02-01
0.191,2018-03-01T00:00:00.000+01:00,2018-02-28T23:00:00Z,2018-02-28T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-03-01
0.77,2018-03-01T00:00:00.000+01:00,2018-02-28T23:00:00Z,2018-02-28T23:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-03-01
0.191,2018-04-01T00:00:00.000+02:00,2018-03-31T22:00:00Z,2018-03-31T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-04-01
0.77,2018-04-01T00:00:00.000+02:00,2018-03-31T22:00:00Z,2018-03-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-04-01
0.191,2018-05-01T00:00:00.000+02:00,2018-04-30T22:00:00Z,2018-04-30T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-05-01
0.77,2018-05-01T00:00:00.000+02:00,2018-04-30T22:00:00Z,2018-04-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-05-01
0.191,2018-06-01T00:00:00.000+02:00,2018-05-31T22:00:00Z,2018-05-31T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-06-01
0.77,2018-06-01T00:00:00.000+02:00,2018-05-31T22:00:00Z,2018-05-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-06-01
0.191,2018-07-01T00:00:00.000+02:00,2018-06-30T22:00:00Z,2018-06-30T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-07-01
0.77,2018-07-01T00:00:00.000+02:00,2018-06-30T22:00:00Z,2018-06-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-07-01
0.191,2018-08-01T00:00:00.000+02:00,2018-07-31T22:00:00Z,2018-07-31T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-08-01
0.77,2018-08-01T00:00:00.000+02:00,2018-07-31T22:00:00Z,2018-07-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-08-01
0.191,2018-09-01T00:00:00.000+02:00,2018-08-31T22:00:00Z,2018-08-31T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-09-01
0.77,2018-09-01T00:00:00.000+02:00,2018-08-31T22:00:00Z,2018-08-31T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-09-01
0.191,2018-10-01T00:00:00.000+02:00,2018-09-30T22:00:00Z,2018-09-30T22:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-10-01
0.77,2018-10-01T00:00:00.000+02:00,2018-09-30T22:00:00Z,2018-09-30T22:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-10-01
0.191,2018-11-01T00:00:00.000+01:00,2018-10-31T23:00:00Z,2018-10-31T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-11-01
0.77,2018-11-01T00:00:00.000+01:00,2018-10-31T23:00:00Z,2018-10-31T23:00:00.000Z,14,Comunidad Foral de Navarra,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-11-01
0.191,2018-12-01T00:00:00.000+01:00,2018-11-30T23:00:00Z,2018-11-30T23:00:00.000Z,4,Andalucía,1943,Potencia instalada de generación autoconsumo hidráulica,"[{'name': 'Potencia', 'id': 20}]",2018-12-01
