date,wind_mwh_day,wind_mean_mw,wind_peak_mw,wind_peak_hour
2014-12-31,71533.752,2980.573,2980.573,23
2015-01-01,71498.6,2979.1083333333336,6160.27,20
2015-01-02,103311.867,4304.661125,7781.209,20
2015-01-03,80945.191,3372.716291666667,6184.686,20
2015-01-04,70833.639,2951.401625,6459.418,20
2015-01-05,103964.718,4331.863249999999,6557.362,9
2015-01-06,83236.94499999999,3468.2060416666664,7065.895,21
2015-01-07,129464.58,5394.3575,8783.927,19
2015-01-08,112037.10199999998,4668.212583333333,6863.867,8
2015-01-09,95893.751,3995.5729583333336,6555.619,18
2015-01-10,71498.921,2979.1217083333336,5297.164,18
2015-01-11,53874.067,2244.752791666667,6023.285,19
2015-01-12,78469.026,3269.54275,5168.411,19
2015-01-13,74937.371,3122.3904583333333,6071.291,19
2015-01-14,89164.447,3715.1852916666667,6121.796,8
2015-01-15,64230.255,2676.260625,4804.658,18
2015-01-16,66444.58,2768.5241666666666,4967.633,18
2015-01-17,72124.391,3005.1829583333333,5481.443,18
2015-01-18,64497.50899999999,2687.396208333333,5321.673,20
2015-01-19,81703.598,3404.3165833333333,6812.894,19
2015-01-20,114919.845,4788.326875,7544.061,18
2015-01-21,84482.099,3520.0874583333334,5559.623,8
2015-01-22,72051.106,3002.1294166666667,5352.179,18
2015-01-23,74958.138,3123.2557500000003,5168.979,18
2015-01-24,63784.508,2657.6878333333334,4873.217,18
2015-01-25,56086.602,2336.94175,5072.146,20
2015-01-26,87822.315,3659.263125,6737.835,19
2015-01-27,74297.571,3095.732125,5092.894,19
2015-01-28,79799.994,3324.9997500000004,5322.745,19
2015-01-29,64100.364,2670.8485,3842.177,8
2015-01-30,100595.949,4191.497875,7489.855,20
2015-01-31,115759.755,4823.323125,6441.154,19
2015-02-01,113828.30599999998,4742.846083333333,6507.525,20
2015-02-02,132445.404,5518.5585,7461.855,7
2015-02-03,119299.618,4970.817416666667,7020.571,18
2015-02-04,119858.451,4994.102125,5974.225,9
2015-02-05,121620.86299999998,5067.535958333333,6743.158,18
2015-02-06,135149.031,5631.2096249999995,7695.974,18
2015-02-07,144776.491,6032.353791666667,7985.638,10
2015-02-08,94719.065,3946.6277083333334,5520.479,19
2015-02-09,112957.657,4706.569041666667,8188.396,19
2015-02-10,135178.789,5632.449541666666,7800.119,19
2015-02-11,145044.798,6043.53325,7608.059,9
2015-02-12,145944.177,6081.007375,7885.858,8
2015-02-13,119496.456,4979.019,6336.532,8
2015-02-14,101880.05000000002,4245.002083333334,5942.836,19
2015-02-15,104971.25,4373.802083333333,6254.646,21
2015-02-16,123638.44399999999,5151.601833333333,6789.857,18
2015-02-17,110035.76200000002,4584.823416666667,6672.937,19
2015-02-18,130984.62400000001,5457.692666666667,7384.417,18
2015-02-19,152830.20799999998,6367.925333333333,8525.57,18
2015-02-20,149878.931,6244.955458333334,7700.424,7
2015-02-21,129304.943,5387.705958333333,6969.302,8
2015-02-22,114383.519,4765.979958333333,6928.101,19
2015-02-23,120447.614,5018.650583333333,7321.98,19
2015-02-24,128265.89800000002,5344.412416666667,7384.48,19
2015-02-25,131654.973,5485.623875,7538.322,8
2015-02-26,142309.83,5929.576249999999,7873.86,19
2015-02-27,141843.784,5910.157666666667,7702.767,19
2015-02-28,135800.056,5658.335666666667,7146.623,20
2015-03-01,118235.41400000002,4926.475583333334,7142.348,19
2015-03-02,158781.23500000002,6615.884791666667,9422.196,19
2015-03-03,175786.589,7324.441208333334,8824.601,18
2015-03-04,151448.713,6310.3630416666665,7757.616,19
2015-03-05,150724.341,6280.180874999999,8414.059,19
2015-03-06,176431.98500000002,7351.332708333334,9117.185,19
2015-03-07,153999.676,6416.653166666667,8030.292,20
2015-03-08,134127.215,5588.633958333333,7202.838,20
2015-03-09,162960.333,6790.013875000001,8770.7,19
2015-03-10,163341.994,6805.916416666667,9001.191,19
2015-03-11,157474.185,6561.424375,8526.515,19
2015-03-12,141821.471,5909.227958333333,7865.139,8
2015-03-13,132535.786,5522.324416666666,7794.435,19
2015-03-14,110715.438,4613.14325,7304.674,20
2015-03-15,108365.987,4515.249458333333,7736.078,20
2015-03-16,147968.758,6165.364916666666,8388.194,19
2015-03-17,133858.532,5577.438833333334,7777.995,18
2015-03-18,137970.182,5748.757583333333,8270.147,10
2015-03-19,90575.613,3773.983875,5557.731,19
2015-03-20,92176.337,3840.6807083333333,6257.313,19
2015-03-21,113733.696,4738.9039999999995,7230.738,19
2015-03-22,85209.573,3550.3988750000003,6374.474,21
2015-03-23,125489.75,5228.739583333333,7706.917,9
2015-03-24,104489.084,4353.711833333334,6494.227,9
2015-03-25,84295.196,3512.299833333333,5985.536,19
2015-03-26,88764.022,3698.5009166666664,5479.422,20
2015-03-27,95078.941,3961.622541666667,6089.638,19
2015-03-28,83223.011,3467.6254583333334,5912.839,19
2015-03-29,75289.553,3137.0647083333333,5039.318,19
2015-03-30,89860.151,3744.172958333333,5536.566,19
2015-03-31,101977.643,4249.068458333333,6280.228,7
2015-04-01,107810.742,4492.11425,6600.941,18
2015-04-02,98097.138,4087.3807500000003,6537.043,19
2015-04-03,84723.219,3530.134125,5455.289,19
2015-04-04,87094.15,3628.9229166666664,5598.196,19
2015-04-05,84870.482,3536.2700833333333,5838.773,19
2015-04-06,88060.082,3669.170083333333,5505.009,19
2015-04-07,83463.837,3477.659875,4992.325,7
2015-04-08,86259.675,3594.1531250000003,6132.317,19
2015-04-09,119584.11000000002,4982.67125,7352.727,19
2015-04-10,111788.425,4657.851041666667,6784.697,19
2015-04-11,98392.304,4099.6793333333335,6280.906,9
2015-04-12,57933.50899999999,2413.896208333333,3896.668,19
2015-04-13,72844.384,3035.182666666667,4837.983,19
2015-04-14,76447.505,3185.3127083333334,4901.562,19
2015-04-15,91014.824,3792.284333333333,5960.76,19
2015-04-16,91177.277,3799.0532083333333,5657.878,9
2015-04-17,103602.1,4316.754166666667,6369.82,19
2015-04-18,71278.511,2969.9379583333334,4125.334,19
2015-04-19,72274.853,3011.4522083333336,6121.103,19
2015-04-20,94191.328,3924.6386666666663,5660.672,7
2015-04-21,73971.394,3082.141416666667,4789.058,7
2015-04-22,91293.107,3803.8794583333333,6796.994,19
2015-04-23,107714.793,4488.1163750000005,6803.817,19
2015-04-24,90841.656,3785.069,5779.883,8
2015-04-25,66924.552,2788.5229999999997,3992.779,8
2015-04-26,65892.781,2745.532541666667,4210.419,19
2015-04-27,80731.769,3363.8237083333333,5585.637,19
2015-04-28,105544.639,4397.6932916666665,6948.108,19
2015-04-29,105279.589,4386.649541666667,6281.762,7
2015-04-30,92971.862,3873.827583333333,6258.457,7
2015-05-01,69916.966,2913.2069166666665,5569.502,19
2015-05-02,74227.795,3092.8247916666664,5079.364,19
2015-05-03,90770.466,3782.10275,7116.931,20
2015-05-04,94432.992,3934.708,5490.065,7
2015-05-05,123352.82800000001,5139.701166666667,7188.242,19
2015-05-06,138567.241,5773.635041666667,7764.299,19
2015-05-07,114334.943,4763.955958333333,6016.69,6
2015-05-08,116651.442,4860.47675,7042.398,19
2015-05-09,126968.435,5290.3514583333335,7262.043,19
2015-05-10,103247.89299999998,4301.995541666666,7038.427,19
2015-05-11,125686.07700000002,5236.9198750000005,7253.202,19
2015-05-12,131359.347,5473.306125,7482.96,8
2015-05-13,127008.695,5292.028958333333,7381.938,8
2015-05-14,110809.37599999999,4617.057333333333,8332.83,7
2015-05-15,87828.107,3659.5044583333333,4916.023,10
2015-05-16,81327.532,3388.647166666667,5421.964,19
2015-05-17,68621.802,2859.2417499999997,5861.295,20
2015-05-18,121370.71600000001,5057.113166666667,7350.213,11
2015-05-19,91589.289,3816.2203750000003,6107.357,7
2015-05-20,94462.935,3935.955625,6508.603,9
2015-05-21,87881.484,3661.7284999999997,5935.039,19
2015-05-22,83479.364,3478.3068333333335,5585.559,10
2015-05-23,64439.85800000001,2684.9940833333335,4102.92,20
2015-05-24,56054.778999999995,2335.6157916666666,3914.252,20
